Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1342,2440,45,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1185,1519,22,На складе
"Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных","Седжвик Роберт, Уэйн Кевин",Питер,2681,3437,22,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,961,1748,45,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1554,2826,45,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,578,1051,45,На складе
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1078,1960,45,На складе
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2521,3232,22,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2731,3501,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2213,2837,22,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,1782,3240,45,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1412,2567,45,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1628,2960,45,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1333,2423,45,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2459,3152,22,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,3105,3981,22,На складе
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань:Учебники для вузов. Специальная литература,1573,2860,45,На складе
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,633,1151,45,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1481,2693,45,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1924,3499,45,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2517,4576,45,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2517,4576,45,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2749,4998,45,На складе
"Python, например",Лейси Никола,Питер:Библиотека программиста,1589,2037,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2852,5186,45,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1110,2018,45,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1208,2196,45,На складе
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1569,2852,45,Ограничено
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3545,4545,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,888,1614,45,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,740,1345,45,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2443,4441,45,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,2263,2901,22,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,258,331,22,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2517,4576,45,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,1862,3386,45,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,920,1180,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1545,1981,22,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1404,1800,22,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,5332,6836,22,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1824,3317,45,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1739,3162,45,На складе
Программирование. Сборник задач. Учебное пособие для СПО,Маран Михкель Михкелевич и др.,Лань:Компьютеры и программное обеспечение,1074,1953,45,Ограничено
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,989,1798,45,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1777,3230,45,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,717,1304,45,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1394,2534,45,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5702,10368,45,На складе
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,2325,2981,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1128,2051,45,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2368,4306,45,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1481,2693,45,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2793,3581,22,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2793,3581,22,На складе
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1426,2592,45,На складе
